Kurbelwinkel [°KW]	Zeit [s n. Rechenbeginn]	Brennraumvolumen [m3]	Vu [m3]	Vb [m3]	T_Zone_1 [K]	T_Zone_2 [K]	T_mittel [K]	T_BurnAdiabat [K]	p_soll [bar]	p [bar]	dQb [J/s]	dQb [J/KW]	Qb [J]	dmb [kg/s]	dmb [kg/KW]	mb [kg]	dQw [J/s]	dQw [J/KW]	Qw [J]	Xb[-]	Qb/Qmax [-]	Qmax [J]	Hu Zone [J/kg]	Hu frischGemsich [J/kg]	Phi_Delay [°KW]	Alpha [W/(m^2K)]	pSchlepp [bar]	Wandwärmestromdichte [MW/m^2]	PQw [W]	Brennraumfläche [m^2]	Gesamtmasse [kg]	m_u[kg]	m_v[kg]	 cv_u[J/kg]	 cp_u [J/kg]	 kappa_u [-]	 U_u [J]	 cv_b[J/kg]	 cp_b [J/kg]	 kappa_b [-]	 U_b [J]	Zu_O2 [kg]	Zu_CO2 [kg]	Zu_H2O [kg]	Zu_N2 [kg]	Zu_H [kg]	Zu_O [kg]	Zu_N [kg]	Zu_H2 [kg]	Zu_OH [kg]	Zu_CO [kg]	Zu_NO [kg]	Zu_Diesel [kg]	Zb_O2 [kg]	Zb_CO2 [kg]	Zb_H2O [kg]	Zb_N2 [kg]	Zb_H [kg]	Zb_O [kg]	Zb_N [kg]	Zb_H2 [kg]	Zb_OH [kg]	Zb_CO [kg]	Zb_NO [kg]	Zb_Diesel [kg]	
-85	5.55E-04	2.96E-04	1	3.38E-52	507.5759361	1	507.5759361	1642.826638	3.1124	3.112640466	5.55	6.16E-04	0.057265584	0	0	0	109.3540913	0.012129511	0.049536152	0	6.25E-05	916.4949278	31.28724496	31.28724496	0	127.4531341	3.123257313	0.004387693	109.3540079	0.024922892	6.30E-04	6.30E-04	1.00E-55	768.9169421	1056.951854	1.374598212	-378.1874176	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-84.5	6.10E-04	2.94E-04	1	3.40E-52	509.0834583	1	509.0834583	1644.039398	3.1454	3.145337941	834.1867046	0.092527647	0.103529408	0	0	0	114.4327274	0.012692831	0.055882568	0	1.13E-04	916.4949278	31.28724496	31.28724496	0	128.3244317	3.155491991	0.004611141	114.4326401	0.024816558	6.30E-04	6.30E-04	1.00E-55	769.2520163	1057.286928	1.374435043	-377.4569848	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-84	6.66E-04	2.91E-04	1	3.43E-52	510.6980407	1	510.6980407	1645.338575	3.1793	3.17923628	1628.097726	0.180587932	0.193823374	0	0	0	119.8919691	0.013298368	0.062531752	0	2.11E-04	916.4949278	31.28724496	31.28724496	0	129.2197337	3.188360428	0.004851948	119.8918778	0.024710051	6.30E-04	6.30E-04	1.00E-55	769.6120633	1057.646975	1.374259871	-376.6743251	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-83.5	7.21E-04	2.89E-04	1	3.46E-52	512.1433505	1	512.1433505	1646.502051	3.213	3.212628821	5.55	6.16E-04	0.194131176	0	0	0	124.8220359	0.013845209	0.069454357	0	2.12E-04	916.4949278	31.28724496	31.28724496	0	130.1084919	3.2218777	0.005073366	124.821944	0.024603378	6.30E-04	6.30E-04	1.00E-55	769.9353865	1057.970298	1.374102706	-375.9734082	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-83	7.76E-04	2.87E-04	1	3.48E-52	513.7086669	1	513.7086669	1647.762379	3.2474	3.247331595	911.3033623	0.101081395	0.244671874	0	0	0	130.1778534	0.014439274	0.076673994	0	2.67E-04	916.4949278	31.28724496	31.28724496	0	131.0231986	3.256059309	0.005314126	130.1777571	0.02449655	6.30E-04	6.30E-04	1.00E-55	770.2866367	1058.321548	1.373932116	-375.2139603	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-82.5	8.32E-04	2.85E-04	1	3.51E-52	515.339898	1	515.339898	1649.076124	3.2831	3.28302962	1341.39851	0.148787373	0.31906556	0	0	0	135.7842608	0.015061135	0.084204561	0	3.48E-04	916.4949278	31.28724496	31.28724496	0	131.9582152	3.290921206	0.005567304	135.7841606	0.024389573	6.30E-04	6.30E-04	1.00E-55	770.6538631	1058.688775	1.373753932	-374.4221632	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-82	8.87E-04	2.83E-04	1	3.54E-52	516.9095743	1	516.9095743	1650.340751	3.319	3.31892684	654.2709407	0.072571464	0.355351292	0	0	0	141.2175432	0.015663792	0.092036457	0	3.88E-04	916.4949278	31.28724496	31.28724496	0	132.8992661	3.326479796	0.005815615	141.2174408	0.024282459	6.30E-04	6.30E-04	1.00E-55	771.0083635	1059.043275	1.373582085	-373.6598879	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-81.5	9.43E-04	2.80E-04	1	3.57E-52	518.4221907	1	518.4221907	1651.559835	3.3552	3.355055904	5.55	6.16E-04	0.355659094	0	0	0	146.4908593	0.016248706	0.10016081	0	3.88E-04	916.4949278	31.28724496	31.28724496	0	133.8469091	3.362751959	0.006059543	146.4907546	0.024175216	6.30E-04	6.30E-04	1.00E-55	771.3510173	1059.385929	1.37341613	-372.9249902	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-81	9.98E-04	2.78E-04	1	3.59E-52	520.0312645	1	520.0312645	1652.856955	3.3925	3.39242255	699.9189806	0.077634726	0.394476457	0	0	0	152.1208033	0.016873177	0.108597398	0	4.30E-04	916.4949278	31.28724496	31.28724496	0	134.8191655	3.399755061	0.006320493	152.120694	0.024067853	6.30E-04	6.30E-04	1.00E-55	771.7166315	1059.751543	1.373239218	-372.1428701	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-80.5	0.001053736	2.76E-04	1	3.62E-52	521.701078	1	521.701078	1654.20341	3.4309	3.430820469	1078.83326	0.119663743	0.454308329	0	0	0	157.9908992	0.017524286	0.117359541	0	4.96E-04	916.4949278	31.28724496	31.28724496	0	135.8123275	3.437506975	0.006593835	157.9907857	0.023960379	6.30E-04	6.30E-04	1.00E-55	772.0972449	1060.132157	1.373055225	-371.3308339	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-80	0.001109196	2.74E-04	1	3.65E-52	523.3478321	1	523.3478321	1655.531728	3.4698	3.469717785	721.1264201	0.079987047	0.494301852	0	0	0	163.818986	0.018170735	0.126444909	0	5.39E-04	916.4949278	31.28724496	31.28724496	0	136.8168248	3.476026093	0.006867908	163.8188694	0.023852805	6.30E-04	6.30E-04	1.00E-55	772.473785	1060.508697	1.372873381	-370.5296187	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-79.5	0.001164656	2.71E-04	1	3.68E-52	524.9308693	1	524.9308693	1656.809126	3.5091	3.508853411	5.55	6.16E-04	0.494609654	0	0	0	169.4656121	0.018797056	0.135843437	0	5.40E-04	916.4949278	31.28724496	31.28724496	0	137.8279283	3.515331347	0.00713685	169.4654929	0.023745139	6.30E-04	6.30E-04	1.00E-55	772.8368517	1060.871763	1.372698211	-369.7590357	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-79	0.001220115	2.69E-04	1	3.71E-52	526.625521	1	526.625521	1658.176909	3.5495	3.54941322	826.9647373	0.09172659	0.540472949	0	0	0	175.5309566	0.019469822	0.145578348	0	5.90E-04	916.4949278	31.28724496	31.28724496	0	138.8669352	3.555442222	0.007425982	175.530832	0.023637391	6.30E-04	6.30E-04	1.00E-55	773.2266951	1061.261607	1.372510305	-368.9337197	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-78.5	0.001275575	2.67E-04	1	3.75E-52	528.3110564	1	528.3110564	1659.537798	3.5907	3.590610552	585.9739146	0.064995986	0.572970942	0	0	0	181.6041022	0.020143453	0.155650074	0	6.25E-04	916.4949278	31.28724496	31.28724496	0	139.9196709	3.596378779	0.007718117	181.6039739	0.02352957	6.30E-04	6.30E-04	1.00E-55	773.6156369	1061.650549	1.372323022	-368.1124298	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-78	0.001331035	2.65E-04	1	3.78E-52	529.9490002	1	529.9490002	1660.860751	3.6326	3.632195814	5.55	6.16E-04	0.573278744	0	0	0	187.5519528	0.020803186	0.166051667	0	6.26E-04	916.4949278	31.28724496	31.28724496	0	140.9815948	3.638161674	0.008007614	187.5518214	0.023421687	6.30E-04	6.30E-04	1.00E-55	773.9947267	1062.029638	1.372140664	-367.3139331	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-77.5	0.001386495	2.63E-04	1	3.81E-52	531.6882307	1	531.6882307	1662.265871	3.6753	3.675205819	731.7815789	0.081168913	0.6138632	0	0	0	193.8914175	0.021506357	0.176804845	0	6.70E-04	916.4949278	31.28724496	31.28724496	0	142.0713592	3.680812174	0.008316606	193.8912804	0.023313751	6.30E-04	6.30E-04	1.00E-55	774.398464	1062.433376	1.371946647	-366.4656303	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-77	0.001441955	2.60E-04	1	3.84E-52	533.4610916	1	533.4610916	1663.698624	3.7193	3.719203301	860.53213	0.095449871	0.661588135	0	0	0	200.3913912	0.022227331	0.187918511	0	7.22E-04	916.4949278	31.28724496	31.28724496	0	143.1810538	3.724352179	0.008635406	200.3912493	0.023205771	6.30E-04	6.30E-04	1.00E-55	774.8112712	1062.846183	1.371748479	-365.6004684	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-76.5	0.001497414	2.58E-04	1	3.88E-52	535.2802839	1	535.2802839	1665.169293	3.7644	3.764300778	1098.835969	0.121882435	0.722529353	0	0	0	207.0989806	0.022971334	0.199404178	0	7.88E-04	916.4949278	31.28724496	31.28724496	0	144.3126755	3.768804246	0.008966188	207.0988335	0.023097758	6.30E-04	6.30E-04	1.00E-55	775.2361763	1063.271088	1.371544725	-364.7122165	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-76	0.001552874	2.56E-04	1	3.91E-52	537.1562017	1	537.1562017	1666.686315	3.8107	3.8105982	1426.296532	0.158204227	0.801631466	0	0	0	214.0540979	0.023742793	0.211275574	0	8.75E-04	916.4949278	31.28724496	31.28724496	0	145.4679971	3.814191609	0.009310854	214.0539452	0.022989722	6.30E-04	6.30E-04	1.00E-55	775.6757025	1063.710614	1.371334194	-363.7957567	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-75.5	0.001608334	2.54E-04	1	3.94E-52	538.8905432	1	538.8905432	1668.089498	3.8572	3.856705318	5.55	6.16E-04	0.801939268	0	0	0	220.5565194	0.024464039	0.223507593	0	8.75E-04	916.4949278	31.28724496	31.28724496	0	146.6217999	3.8605382	0.009638997	220.5563647	0.022881672	6.30E-04	6.30E-04	1.00E-55	776.0832808	1064.118193	1.371139179	-362.9479997	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-75	0.001663794	2.51E-04	1	3.98E-52	540.6446383	1	540.6446383	1669.509135	3.9039	3.903778858	5.55	6.16E-04	0.80224707	0	0	0	227.1753425	0.025198196	0.236106691	0	8.75E-04	916.4949278	31.28724496	31.28724496	0	147.7949393	3.907868676	0.009975366	227.1751827	0.022773619	6.30E-04	6.30E-04	1.00E-55	776.4966819	1064.531594	1.370941587	-362.0901334	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-74.5	0.001719254	2.49E-04	1	4.01E-52	542.4187211	1	542.4187211	1670.945434	3.9516	3.951843344	5.55	6.16E-04	0.802554872	0	0	0	233.9132732	0.025945564	0.249079473	0	8.76E-04	916.4949278	31.28724496	31.28724496	0	148.9877989	3.956208441	0.010320194	233.9131082	0.022665572	6.30E-04	6.30E-04	1.00E-55	776.9159858	1064.950898	1.370741389	-361.2220264	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-74	0.001774713	2.47E-04	1	4.05E-52	544.2130288	1	544.2130288	1672.398603	4.0009	4.000924031	5.55	6.16E-04	0.802862674	0	0	0	240.7730982	0.026706453	0.2624327	0	8.76E-04	916.4949278	31.28724496	31.28724496	0	150.2007712	4.005583673	0.010673722	240.7729277	0.022557542	6.30E-04	6.30E-04	1.00E-55	777.3412738	1065.376186	1.370538554	-360.3435455	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-73.5	0.001830173	2.45E-04	1	4.09E-52	546.0867252	1	546.0867252	1673.916531	4.0516	4.051484089	525.3848475	0.058275472	0.83200041	0	0	0	247.9710333	0.027504845	0.276185123	0	9.08E-04	916.4949278	31.28724496	31.28724496	0	151.4422145	4.056021349	0.011045699	247.9708559	0.022449539	6.30E-04	6.30E-04	1.00E-55	777.7866534	1065.821565	1.370326375	-359.4256825	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-73	0.001885633	2.42E-04	1	4.13E-52	547.989144	1	547.989144	1675.458277	4.1033	4.103181236	595.1573675	0.066014611	0.865007715	0	0	0	255.3280539	0.028320883	0.290345564	0	9.44E-04	916.4949278	31.28724496	31.28724496	0	152.7058444	4.107549273	0.011428375	255.3278704	0.022341573	6.30E-04	6.30E-04	1.00E-55	778.2401742	1066.275086	1.370110567	-358.4932107	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-72.5	0.001941093	2.40E-04	1	4.16E-52	549.9381922	1	549.9381922	1677.038368	4.1563	4.156178434	820.8109997	0.09104402	0.910529725	0	0	0	262.9123528	0.02916213	0.304926629	0	9.93E-04	916.4949278	31.28724496	31.28724496	0	153.9945576	4.160196105	0.011824964	262.9121627	0.022233655	6.30E-04	6.30E-04	1.00E-55	778.7061642	1066.741076	1.369889087	-357.5373189	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-72	0.001996553	2.38E-04	1	4.20E-52	551.9164939	1	551.9164939	1678.64277	4.2105	4.210375386	890.3947589	0.098762222	0.959910836	0	0	0	270.6638117	0.030021919	0.319937589	0	0.001047372	916.4949278	31.28724496	31.28724496	0	155.3064487	4.213991389	0.012232944	270.6636149	0.022125794	6.30E-04	6.30E-04	1.00E-55	779.1805277	1067.215439	1.369663899	-356.566494	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
-71.5	0.002052012	2.36E-04	1	4.24E-52	553.9462372	1	553.9462372	1680.289491	4.2661	4.265972417	1153.84279	0.127983769	1.02390272	0	0	0	278.6674012	0.030909674	0.335392426	0	0.001117194	916.4949278	31.28724496	31.28724496	0	156.6450957	4.268965584	0.012656334	278.6671971	0.022018002	6.30E-04	6.30E-04	1.00E-55	779.6686477	1067.703559	1.369432467	-355.5698095	9222172.007	9222360.93	1.000020486	-1.79E-48	0.17795142	0.047991615	0.018142355	0.755527157	9.62E-10	6.67E-07	9.37E-14	5.40E-08	2.79E-05	2.42E-06	3.56E-04	0	0	1	0	0	0	0	0	0	0	0	0	0	 
