Kurbelwinkel-LW [°KW]	Brennraumvolumen-LW [m3]	LWAideal [Pa]	LWArealGemittelt [Pa]	LWA[Pa]
145.3	 4.595657658557126E-4	 100770.93864893208	 159178.7543164664	 159178.7543164664	 
145.39999999999998	 4.597385230825236E-4	 100777.66894641491	 159080.88989998354	 159080.88989998354	 
145.5	 4.5991079547331136E-4	 100786.06121186116	 158982.6571139243	 158982.6571139243	 
145.60000000000002	 4.6008258297587244E-4	 100794.30990751334	 158884.05735980064	 158884.05735980064	 
145.7	 4.602538855386985E-4	 100804.7553537376	 158785.09206398056	 158785.09206398056	 
145.8	 4.6042470311097284E-4	 100816.69210430967	 158685.76271369416	 158685.76271369416	 
145.89999999999998	 4.605950356425647E-4	 100827.81114321126	 158586.07071167987	 158586.07071167987	 
146.0	 4.6076488308402486E-4	 100838.03686403508	 158486.01738585497	 158486.01738585497	 
146.10000000000002	 4.609342453865805E-4	 100848.9876191838	 158385.6041163365	 158385.6041163365	 
146.2	 4.611031225021303E-4	 100858.7613949275	 158284.83227527517	 158284.83227527517	 
146.3	 4.612715143832408E-4	 100866.45713863459	 158183.70313311153	 158183.70313311153	 
146.40000000000003	 4.6143942098313953E-4	 100873.72130339433	 158082.217982076	 158082.217982076	 
146.5	 4.616068422557124E-4	 100878.7509143783	 157980.37810280974	 157980.37810280974	 
146.59999999999997	 4.617737781554974E-4	 100880.63915236454	 157878.18466147617	 157878.18466147617	 
146.7	 4.6194022863768093E-4	 100880.79398073985	 157775.6388310585	 157775.6388310585	 
146.8	 4.621061936580919E-4	 100881.32642925243	 157672.7419213022	 157672.7419213022	 
146.89999999999998	 4.6227167317319806E-4	 100880.52052536227	 157569.49525693373	 157569.49525693373	 
147.0	 4.6243666714010134E-4	 100879.33636060255	 157465.9001291225	 157465.9001291225	 
147.10000000000002	 4.626011755165316E-4	 100881.2228136918	 157361.95802876478	 157361.95802876478	 
147.20000000000005	 4.62765198260844E-4	 100884.72679538514	 157257.62497155095	 157257.62497155095	 
147.3	 4.629287353320128E-4	 100890.66162376045	 157152.85716291354	 157152.85716291354	 
147.39999999999998	 4.630917866896276E-4	 100899.71974733024	 157047.65658323682	 157047.65658323682	 
147.5	 4.632543522938886E-4	 100912.38382055677	 156942.02529968575	 156942.02529968575	 
147.60000000000002	 4.6341643210560094E-4	 100926.54386632338	 156835.9653259133	 156835.9653259133	 
147.7	 4.6357802608617166E-4	 100941.8326992753	 156729.47856923868	 156729.47856923868	 
147.8	 4.6373913419760367E-4	 100960.2205711289	 156622.5670425342	 156622.5670425342	 
147.90000000000003	 4.638997564024924E-4	 100978.67434687255	 156515.23272101965	 156515.23272101965	 
148.0	 4.6405989266401986E-4	 100998.71764206712	 156407.47751305645	 156407.47751305645	 
148.09999999999997	 4.642195429459513E-4	 101019.82139492748	 156299.30339903044	 156299.30339903044	 
148.2	 4.6437870721263E-4	 101041.04592581994	 156190.71228764983	 156190.71228764983	 
148.3	 4.645373854289727E-4	 101064.01874046525	 156081.70614294885	 156081.70614294885	 
148.40000000000003	 4.646955775604654E-4	 101088.67068554534	 155972.2870432038	 155972.2870432038	 
148.5	 4.648532835731586E-4	 101113.34784801674	 155862.4569756783	 155862.4569756783	 
148.60000000000002	 4.650105034336627E-4	 101139.30354595726	 155752.21791626656	 155752.21791626656	 
148.7	 4.6516723710914373E-4	 101165.64944984738	 155641.5718784284	 155641.5718784284	 
148.8	 4.6532348456731863E-4	 101192.34244755907	 155530.52082533276	 155530.52082533276	 
148.89999999999998	 4.6547924577645136E-4	 101219.51063977877	 155419.06673700205	 155419.06673700205	 
149.0	 4.656345207053473E-4	 101248.18638348585	 155307.21169035468	 155307.21169035468	 
149.10000000000002	 4.6578930932334996E-4	 101275.17672673527	 155194.95761552706	 155194.95761552706	 
149.2	 4.6594361160033577E-4	 101301.89306540805	 155082.2638140152	 155082.2638140152	 
149.3	 4.6609742750671043E-4	 101329.23384344009	 154969.08997984964	 154969.08997984964	 
149.39999999999998	 4.662507570134031E-4	 101356.74995327987	 154855.43846000842	 154855.43846000842	 
149.5	 4.66403600091864E-4	 101384.8927450419	 154741.31161621268	 154741.31161621268	 
149.60000000000002	 4.665559567140583E-4	 101414.32473588859	 154626.71191885398	 154626.71191885398	 
149.7	 4.667078268524623E-4	 101444.96606311969	 154511.6419094345	 154511.6419094345	 
149.8	 4.6685921048005935E-4	 101475.20519355447	 154396.10400395954	 154396.10400395954	 
149.90000000000003	 4.670101075703357E-4	 101505.50537662086	 154280.10053032852	 154280.10053032852	 
150.0	 4.67160518097275E-4	 101538.97041094581	 154163.6341555984	 154163.6341555984	 
150.09999999999997	 4.673104420353552E-4	 101571.71215007626	 154046.7075001586	 154046.7075001586	 
150.2	 4.6745987935954404E-4	 101607.39288234168	 153929.32319093376	 153929.32319093376	 
150.3	 4.676088300452937E-4	 101644.72345442405	 153811.48411205542	 153811.48411205542	 
150.39999999999998	 4.6775729406853814E-4	 101682.51192124328	 153693.19293750814	 153693.19293750814	 
150.5	 4.6790527140568754E-4	 101724.0314178108	 153574.45258248172	 153574.45258248172	 
150.60000000000002	 4.680527620336246E-4	 101768.21343154076	 153455.26623179	 153455.26623179	 
150.70000000000005	 4.681997659297005E-4	 101814.75160087716	 153335.63697734414	 153335.63697734414	 
150.8	 4.683462830717298E-4	 101862.71951849731	 153215.5678219986	 153215.5678219986	 
150.89999999999998	 4.6849231343798746E-4	 101913.4789692982	 153095.06185762995	 153095.06185762995	 
151.0	 4.686378570072035E-4	 101966.34652078559	 152974.12229620636	 152974.12229620636	 
151.10000000000002	 4.687829137585593E-4	 102020.202905225	 152852.75218724358	 152852.75218724358	 
151.2	 4.689274836716837E-4	 102075.13553680392	 152730.913931483	 152730.913931483	 
151.3	 4.690715667266488E-4	 102131.05928966438	 152608.57019897483	 152608.57019897483	 
151.40000000000003	 4.692151629039643E-4	 102187.94693268494	 152485.72436144587	 152485.72436144587	 
151.5	 4.693582721845761E-4	 102244.74313405796	 152362.37968573597	 152362.37968573597	 
151.59999999999997	 4.695008945498597E-4	 102302.52098302818	 152238.53946767046	 152238.53946767046	 
151.7	 4.6964302998161794E-4	 102361.70990751324	 152114.207229535	 152114.207229535	 
151.8	 4.697846784620751E-4	 102418.03489607168	 151989.38600558872	 151989.38600558872	 
151.90000000000003	 4.6992583997387436E-4	 102474.47823703276	 151864.07866017456	 151864.07866017456	 
152.0	 4.700665145000726E-4	 102528.05507913802	 151738.28804948603	 151738.28804948603	 
152.10000000000002	 4.7020670202413775E-4	 102578.78212719293	 151612.0165950286	 151612.0165950286	 
152.2	 4.70346402529943E-4	 102625.49485030507	 151485.26651622684	 151485.26651622684	 
152.3	 4.7048561600176417E-4	 102670.15686403502	 151358.04011291327	 151358.04011291327	 
152.39999999999998	 4.7062434242427475E-4	 102712.81713863458	 151230.33995841403	 151230.33995841403	 
152.5	 4.7076258178254255E-4	 102753.91842009913	 151102.1686849067	 151102.1686849067	 
152.60000000000002	 4.7090033406202555E-4	 102792.03155511056	 150973.52875097757	 150973.52875097757	 
152.70000000000005	 4.7103759924856765E-4	 102830.4645985888	 150844.42290027585	 150844.42290027585	 
152.8	 4.7117437732839464E-4	 102868.34052536232	 150714.85427047234	 150714.85427047234	 
152.89999999999998	 4.7131066828811106E-4	 102904.9132027078	 150584.82573863526	 150584.82573863526	 
153.0	 4.714464721146954E-4	 102941.6023102593	 150454.34029827733	 150454.34029827733	 
153.10000000000002	 4.715817887954966E-4	 102979.66217295952	 150323.40141712246	 150323.40141712246	 
153.2	 4.717166183182295E-4	 103017.16711575126	 150191.97133376863	 150191.97133376863	 
153.3	 4.718509606709725E-4	 103054.59237890918	 150060.0123146409	 150060.0123146409	 
153.40000000000003	 4.7198481584216157E-4	 103091.08633771926	 149927.52783878383	 149927.52783878383	 
153.5	 4.72118183820588E-4	 103128.231509344	 149794.52153461592	 149794.52153461592	 
153.59999999999997	 4.7225106459539395E-4	 103166.99155511057	 149660.99753758524	 149660.99753758524	 
153.7	 4.723834581560685E-4	 103206.23567410368	 149526.95999280317	 149526.95999280317	 
153.8	 4.725153644924444E-4	 103246.63256197555	 149392.41299684945	 149392.41299684945	 
153.90000000000003	 4.726467835946933E-4	 103288.49993039659	 149257.3608850267	 149257.3608850267	 
154.0	 4.7277771545332296E-4	 103328.04436975591	 149121.80731947106	 149121.80731947106	 
154.10000000000002	 4.729081600591722E-4	 103368.52043382911	 148985.75586528337	 148985.75586528337	 
154.20000000000005	 4.730381174034091E-4	 103407.80354595723	 148849.2103324326	 148849.2103324326	 
154.3	 4.7316758747752494E-4	 103444.88890064834	 148712.17386618946	 148712.17386618946	 
154.39999999999998	 4.7329657027333225E-4	 103479.14853451557	 148574.64923217933	 148574.64923217933	 
154.5	 4.7342506578296043E-4	 103511.8790150648	 148436.6393128154	 148436.6393128154	 
154.60000000000002	 4.7355307399885157E-4	 103541.84816838287	 148298.1469747827	 148298.1469747827	 
154.7	 4.7368059491375734E-4	 103571.75137204421	 148159.17540108057	 148159.17540108057	 
154.8	 4.738076285207353E-4	 103600.16610888632	 148019.72806197742	 148019.72806197742	 
154.90000000000003	 4.7393417481314515E-4	 103628.14130339431	 147879.808340853	 147879.808340853	 
155.0	 4.740602337846443E-4	 103657.51961003049	 147739.4203292239	 147739.4203292239	 
155.09999999999997	 4.74185805429186E-4	 103686.35622330278	 147598.5681210436	 147598.5681210436	 
155.2	 4.743108897410137E-4	 103716.94299675818	 147457.2198831533	 147457.2198831533	 
155.3	 4.744354867146589E-4	 103748.96116609455	 147315.34458627176	 147315.34458627176	 
155.40000000000003	 4.745595963449366E-4	 103782.2123331426	 147172.9473076581	 147172.9473076581	 
155.5	 4.746832186269423E-4	 103818.02867181541	 147030.03348733773	 147030.03348733773	 
155.60000000000002	 4.748063535560482E-4	 103854.71965579707	 146886.6085401647	 146886.6085401647	 
155.7	 4.7492900112789944E-4	 103892.56409515633	 146742.6775637244	 146742.6775637244	 
155.8	 4.750511613384112E-4	 103932.48757341721	 146598.24604777896	 146598.24604777896	 
155.89999999999998	 4.751728341837645E-4	 103975.25631483598	 146453.32003613492	 146453.32003613492	 
156.0	 4.752940196604028E-4	 104020.06331712428	 146307.90565525676	 146307.90565525676	 
156.10000000000002	 4.754147177650287E-4	 104065.47544527074	 146162.0084661488	 146162.0084661488	 
156.20000000000005	 4.755349284946002E-4	 104112.39965579704	 146015.6339403166	 146015.6339403166	 
156.3	 4.7565465184632745E-4	 104159.73713863458	 145868.78754866263	 145868.78754866263	 
156.39999999999998	 4.757738878176695E-4	 104206.05137204421	 145721.4740314217	 145721.4740314217	 
156.5	 4.7589263640633004E-4	 104251.87356884053	 145573.69786472732	 145573.69786472732	 
156.60000000000002	 4.760108976102549E-4	 104298.34038806248	 145425.4640675976	 145425.4640675976	 
156.7	 4.761286714276275E-4	 104342.20459858884	 145276.7769972116	 145276.7769972116	 
156.8	 4.7624595785686726E-4	 104384.82583428675	 145127.6403876914	 145127.6403876914	 
156.90000000000003	 4.76362756896624E-4	 104427.19178394353	 144978.05873392563	 144978.05873392563	 
157.0	 4.7647906854577613E-4	 104469.19677250186	 144828.03683742284	 144828.03683742284	 
157.09999999999997	 4.765948928034266E-4	 104509.03938119752	 144677.5788529618	 144677.5788529618	 
157.2	 4.7671022966890025E-4	 104549.9374590007	 144526.65640029762	 144526.65640029762	 
157.3	 4.7682507914173906E-4	 104589.00217295953	 144375.24150386124	 144375.24150386124	 
157.40000000000003	 4.7693944122170046E-4	 104626.0251020213	 144223.3382482059	 144223.3382482059	 
157.5	 4.7705331590875284E-4	 104662.05480453848	 144070.95099790674	 144070.9509979067	 
157.60000000000002	 4.7716670320307265E-4	 104698.48208142637	 143918.08501842467	 143918.08501842464	 
157.70000000000005	 4.772796031050419E-4	 104734.13393497326	 143764.7456775505	 143764.74567755047	 
157.8	 4.7739201561524324E-4	 104770.35100591149	 143610.93843652637	 143610.93843652634	 
157.89999999999998	 4.775039407344579E-4	 104806.4283972158	 143456.66903407482	 143456.6690340748	 
158.0	 4.7761537846366256E-4	 104841.091280511	 143301.94245299872	 143301.9424529987	 
158.10000000000002	 4.77726328804025E-4	 104876.87398073987	 143146.76419853434	 143146.7641985343	 
158.2	 4.778367917569021E-4	 104914.12601735312	 142991.1409947121	 142991.14099471207	 
158.3	 4.779467673238361E-4	 104950.3442324561	 142835.0787366009	 142835.07873660087	 
158.40000000000003	 4.780562555065513E-4	 104989.72144069409	 142678.58409000057	 142678.58409000054	 
158.5	 4.781652563069515E-4	 105029.20803108311	 142521.66428121517	 142521.66428121514	 
158.60000000000002	 4.782737697271155E-4	 105068.0223560259	 142364.32494871292	 142364.3249487129	 
158.7	 4.783817957692958E-4	 105106.95059401215	 142206.57175847338	 142206.57175847335	 
158.8	 4.7848933443591404E-4	 105145.56487318837	 142048.4105611682	 142048.41056116816	 
158.90000000000003	 4.7859638572955867E-4	 105183.63269927533	 141889.846934027	 141889.84693402698	 
159.0	 4.787029496529813E-4	 105220.53507913805	 141730.88607296586	 141730.88607296583	 
159.10000000000002	 4.7880902620909383E-4	 105256.99420957282	 141571.53322483468	 141571.53322483465	 
159.2	 4.7891461540096574E-4	 105293.66020499614	 141411.7643844192	 141411.76438441916	 
159.3	 4.790197172318206E-4	 105328.4204338291	 141251.63694328984	 141251.6369432898	 
159.39999999999998	 4.7912433170503273E-4	 105363.8765894355	 141091.24455756164	 141091.24455756161	 
159.5	 4.7922845882412545E-4	 105398.60166952707	 140930.5932185514	 140930.59321855137	 
159.60000000000002	 4.793320985927667E-4	 105430.08112032796	 140769.68617957665	 140769.68617957662	 
159.70000000000005	 4.794352510147661E-4	 105457.73475877187	 140608.5250472722	 140608.52504727218	 
159.8	 4.795379160940733E-4	 105483.52130339431	 140447.1120401564	 140447.11204015638	 
159.89999999999998	 4.7964009383477375E-4	 105505.92455282224	 140285.44952027348	 140285.44952027345	 
160.0	 4.797417842410858E-4	 105525.87434687259	 140123.53945959703	 140123.539459597	 
160.10000000000002	 4.7984298731735886E-4	 105544.38221872611	 139961.38479507822	 139961.3847950782	 
160.2	 4.7994370306806886E-4	 105560.87608600303	 139798.98865003017	 139798.98865003014	 
160.3	 4.800439314978165E-4	 105576.8175505339	 139636.35460086798	 139636.35460086796	 
160.40000000000003	 4.801436726113242E-4	 105592.64441552247	 139473.4872661706	 139473.48726617056	 
160.5	 4.802429264134329E-4	 105608.34354595724	 139310.39151517086	 139310.39151517084	 
160.59999999999997	 4.8034169290909914E-4	 105628.47938119751	 139147.0748743043	 139147.07487430426	 
160.7	 4.8043997210339283E-4	 105650.43297387485	 138983.5461103953	 138983.54611039528	 
160.8	 4.8053776400149364E-4	 105674.42954138058	 138819.8127272282	 138819.81272722819	 
160.90000000000003	 4.806350686086885E-4	 105699.849495614	 138655.8820963803	 138655.88209638026	 
161.0	 4.8073188593036886E-4	 105725.69773360029	 138491.76070546027	 138491.76070546024	 
161.10000000000002	 4.808282159720278E-4	 105752.75910659797	 138327.4549810464	 138327.45498104638	 
161.2	 4.809240587392575E-4	 105779.70423245609	 138162.95157614702	 138162.951576147	 
161.3	 4.810194142377459E-4	 105805.25462147212	 137998.23575853425	 137998.23575853423	 
161.39999999999998	 4.8111428247327436E-4	 105828.97301964143	 137833.31129025703	 137833.311290257	 
161.5	 4.812086634517151E-4	 105852.64340865746	 137668.1827646518	 137668.18276465178	 
161.60000000000002	 4.81302557179028E-4	 105878.2146672387	 137502.85721378427	 137502.85721378424	 
161.7	 4.813959636612578E-4	 105905.76684115175	 137337.34309011663	 137337.3430901166	 
161.8	 4.814888829045326E-4	 105933.60263062544	 137171.64787462656	 137171.64787462653	 
161.89999999999998	 4.8158131491505933E-4	 105962.68148646066	 137005.77863369577	 137005.77863369574	 
162.0	 4.816732596991226E-4	 105993.80240179248	 136839.74371885086	 136839.74371885083	 
162.10000000000002	 4.817647172630814E-4	 106025.44757341722	 136673.55108712855	 136673.55108712852	 
162.2	 4.8185568761336626E-4	 106055.97388920662	 136507.20654701377	 136507.20654701375	 
162.3	 4.8194617075647723E-4	 106088.06528508768	 136340.71668055825	 136340.71668055822	 
162.40000000000003	 4.820361666989807E-4	 106119.30684115176	 136174.0883004873	 136174.08830048726	 
162.5	 4.8212567544750746E-4	 106149.54061689547	 136007.3263753047	 136007.32637530466	 
162.59999999999997	 4.822146970087491E-4	 106178.70400362316	 135840.43569193943	 135840.4356919394	 
162.7	 4.823032313894564E-4	 106206.2507770785	 135673.4205519674	 135673.42055196737	 
162.8	 4.8239127859643665E-4	 106234.1643239893	 135506.2863237695	 135506.28632376948	 
162.89999999999998	 4.824788386365502E-4	 106260.4055596872	 135339.03832248438	 135339.03832248435	 
163.0	 4.8256591151670924E-4	 106286.26963291378	 135171.68128048658	 135171.68128048655	 
163.10000000000002	 4.826524972438748E-4	 106311.29384344007	 135004.2205645757	 135004.22056457566	 
163.20000000000005	 4.827385958250531E-4	 106335.42459858881	 134836.6453349914	 134836.64533499136	 
163.3	 4.8282420726729537E-4	 106358.27828279935	 134668.94457463606	 134668.94457463603	 
163.39999999999998	 4.829093315776929E-4	 106381.99430110597	 134501.12458120583	 134501.1245812058	 
163.5	 4.82993968763377E-4	 106403.81411803963	 134333.1911446046	 134333.19114460459	 
163.60000000000002	 4.8307811883151436E-4	 106424.87864893206	 134165.14869424136	 134165.14869424133	 
163.7	 4.831617817893061E-4	 106448.02034229592	 133997.00502822307	 133997.00502822304	 
163.8	 4.8324495764398486E-4	 106471.14134916093	 133828.76864414426	 133828.76864414423	 
163.90000000000003	 4.833276464028121E-4	 106494.56647501902	 133660.4465795747	 133660.44657957467	 
164.0	 4.834098480730763E-4	 106518.0986489321	 133492.04602684538	 133492.04602684535	 
164.09999999999997	 4.8349156266209043E-4	 106543.29709286799	 133323.57545747617	 133323.57545747614	 
164.2	 4.835727901771893E-4	 106568.47626906935	 133155.0433097232	 133155.04330972317	 
164.3	 4.8365353062572756E-4	 106593.83961003048	 132986.4567422693	 132986.45674226928	 
164.40000000000003	 4.837337840150769E-4	 106618.683683257	 132817.82248392171	 132817.8224839217	 
164.5	 4.838135503526245E-4	 106644.4222644927	 132649.14796667994	 132649.1479666799	 
164.60000000000002	 4.8389282964577025E-4	 106666.71640636915	 132480.43784816688	 132480.43784816685	 
164.7	 4.8397162190192425E-4	 106688.68180682679	 132311.6955669839	 132311.69556698386	 
164.8	 4.840499271285053E-4	 106708.60487318838	 132142.92583973837	 132142.92583973834	 
164.89999999999998	 4.8412774533293756E-4	 106725.13956426387	 131974.13029270558	 131974.13029270555	 
165.0	 4.8420507652264936E-4	 106740.2771844012	 131805.31106407644	 131805.3110640764	 
165.10000000000002	 4.842819207050706E-4	 106751.36400362315	 131636.46947836745	 131636.46947836742	 
165.2	 4.843582778876301E-4	 106761.29269927533	 131467.5948139082	 131467.59481390816	 
165.3	 4.844341480777543E-4	 106768.92066266206	 131298.6781922118	 131298.67819221178	 
165.39999999999998	 4.84509531282864E-4	 106774.06995327989	 131129.72149815195	 131129.72149815192	 
165.5	 4.845844275103733E-4	 106775.9409830282	 130960.72543893481	 130960.72543893478	 
165.60000000000002	 4.846588367676865E-4	 106778.12803108312	 130791.69358825202	 130791.69358825199	 
165.7	 4.8473275906219687E-4	 106778.9233628909	 130622.63149543837	 130622.63149543834	 
165.8	 4.848061944012835E-4	 106781.44917524788	 130453.54627671214	 130453.5462767121	 
165.90000000000003	 4.848791427923102E-4	 106785.61128051103	 130284.44846457796	 130284.44846457793	 
166.0	 4.8495160424262237E-4	 106791.50313405793	 130115.34873591296	 130115.34873591294	 
166.09999999999997	 4.8502357875954637E-4	 106798.64899218154	 129946.25747608943	 129946.2574760894	 
166.2	 4.8509506635038564E-4	 106807.42697845153	 129777.18509665437	 129777.18509665434	 
166.3	 4.851660670224202E-4	 106817.47031941262	 129608.14215625009	 129608.14215625006	 
166.39999999999998	 4.8523658078290387E-4	 106827.65649790234	 129439.13758460716	 129439.13758460713	 
166.5	 4.853066076390622E-4	 106838.3190150648	 129270.17945413163	 129270.1794541316	 
166.60000000000002	 4.853761475980907E-4	 106849.11654366893	 129101.27588141387	 129101.27588141384	 
166.70000000000005	 4.8544520066715307E-4	 106859.80555968721	 128932.43432101802	 128932.434321018	 
166.8	 4.8551376685337884E-4	 106868.07636060254	 128763.65908173095	 128763.65908173092	 
166.89999999999998	 4.8558184616386105E-4	 106876.31700133483	 128594.95451829876	 128594.95451829873	 
167.0	 4.8564943860565575E-4	 106882.13192124327	 128426.32489546054	 128426.32489546051	 
167.10000000000002	 4.857165441857779E-4	 106886.42231025931	 128257.77249904384	 128257.77249904381	 
167.2	 4.8578316291120145E-4	 106889.22647501904	 128089.2922560207	 128089.29225602066	 
167.3	 4.858492947888566E-4	 106891.81411803963	 127920.88086196357	 127920.88086196354	 
167.40000000000003	 4.859149398256275E-4	 106893.14931254764	 127752.54379495444	 127752.54379495441	 
167.5	 4.859800980283509E-4	 106894.3699075133	 127584.2866468173	 127584.28664681727	 
167.59999999999997	 4.860447694038143E-4	 106894.98162376041	 127416.11585325669	 127416.11585325666	 
167.7	 4.861089539587543E-4	 106894.99997616322	 127248.03719059091	 127248.03719059088	 
167.8	 4.86172651699854E-4	 106894.85993039659	 127080.05704250681	 127080.05704250679	 
167.90000000000003	 4.862358626337419E-4	 106892.38459858882	 126912.17932448967	 126912.17932448964	 
168.0	 4.862985867669892E-4	 106889.29393497323	 126744.40723618024	 126744.40723618021	 
168.10000000000002	 4.863608241061097E-4	 106886.70569698699	 126576.74796696824	 126576.7479669682	 
168.2	 4.8642257465755643E-4	 106885.16336289087	 126409.2111478238	 126409.21114782376	 
168.3	 4.8648383842772006E-4	 106883.99352307396	 126241.80630806695	 126241.80630806692	 
168.39999999999998	 4.8654461542292827E-4	 106884.87457570553	 126074.54457478439	 126074.54457478436	 
168.5	 4.8660490564944256E-4	 106885.47933543095	 125907.43621820785	 125907.43621820782	 
168.60000000000002	 4.8666470911345767E-4	 106888.22711575127	 125740.4917773263	 125740.49177732627	 
168.7	 4.8672402582109945E-4	 106890.81407227303	 125573.72206688042	 125573.7220668804	 
168.8	 4.86782855778423E-4	 106892.95137204419	 125407.13398462345	 125407.13398462342	 
168.89999999999998	 4.8684119899141125E-4	 106893.54839721584	 125240.7322474837	 125240.73224748367	 
169.0	 4.8689905546597296E-4	 106893.02203565976	 125074.52043678863	 125074.5204367886	 
169.10000000000002	 4.869564252079417E-4	 106891.90597158654	 124908.50357132303	 124908.503571323	 
169.2	 4.870133082230738E-4	 106888.12423245607	 124742.6780680763	 124742.67806807627	 
169.3	 4.870697045170464E-4	 106881.50638348586	 124577.03661739625	 124577.03661739622	 
169.40000000000003	 4.8712561409545654E-4	 106872.32697845154	 124411.57791416928	 124411.57791416925	 
169.5	 4.8718103696381926E-4	 106860.78501048817	 124246.30121550443	 124246.3012155044	 
169.59999999999997	 4.872359731275661E-4	 106844.79709286803	 124081.20233394307	 124081.20233394305	 
169.7	 4.8729042259204293E-4	 106827.39933543096	 123916.27844232482	 123916.2784423248	 
169.8	 4.873443853625096E-4	 106808.816086003	 123751.53212923283	 123751.5321292328	 
169.89999999999998	 4.8739786144413725E-4	 106789.43814549959	 123586.96696186023	 123586.9669618602	 
170.0	 4.8745085084200775E-4	 106769.7607999618	 123422.58800844333	 123422.5880084433	 
170.10000000000002	 4.875033535611114E-4	 106747.45915236458	 123258.39699226675	 123258.39699226672	 
170.20000000000005	 4.8755536960634583E-4	 106723.2476191838	 123094.39259262897	 123094.39259262894	 
170.3	 4.876068989825144E-4	 106699.30890064828	 122930.58325152246	 122930.58325152243	 
170.39999999999998	 4.8765794169432496E-4	 106672.65938119752	 122766.98570037671	 122766.98570037668	 
170.5	 4.8770849774638816E-4	 106644.67443840577	 122603.59990193824	 122603.59990193821	 
170.60000000000002	 4.877585671432163E-4	 106615.95965579704	 122440.42826971386	 122440.42826971383	 
170.7	 4.8780814988922175E-4	 106585.49063977876	 122277.47231755886	 122277.47231755883	 
170.8	 4.878572459887149E-4	 106555.01283657509	 122114.73485471072	 122114.7348547107	 
170.90000000000003	 4.8790585544590445E-4	 106520.91681826845	 121952.21494819957	 121952.21494819953	 
171.0	 4.879539782648942E-4	 106484.95860316545	 121789.90786885265	 121789.9078688526	 
171.09999999999997	 4.8800161444968255E-4	 106445.45215007623	 121627.80875394288	 121627.80875394284	 
171.2	 4.880487640041614E-4	 106404.49750476735	 121465.90960973976	 121465.90960973971	 
171.3	 4.880954269321144E-4	 106364.20450705563	 121304.21081500541	 121304.21081500537	 
171.40000000000003	 4.881416032372159E-4	 106322.89388920667	 121142.71733846351	 121142.71733846347	 
